tender_id,project_name,sector,region,country,subregion,value_usd_m,bid_deadline,client,project_start_date,duration_months,esg_requirements,risk_factors,procurement_type,project_complexity,project_scale,description
tid-20013,"dam in alberta, canada",industrial,north america,canada,alberta,6.03,2026-08-07,utility company,2029-07-29,72,unknown,regulatory changes,epc,high,small,"open tender for a industrial small-scale project: solar plant in alberta, canada. requires bim integration."
tid-20014,"wind farm in oman, oman",commercial,middle east,oman,oman,15.5,2026-05-21,municipality,2027-08-27,79,water conservation,geopolitical risks,selective bid,medium,small,"open tender for a commercial small-scale project: highway in oman, oman. requires smart city tech."
tid-20015,"data center in kenya, kenya",transportation,africa,kenya,kenya,235.08,2027-05-14,state-owned enterprise,2029-04-12,58,carbon neutrality,regulatory changes,epc,medium,large,"open tender for a transportation large-scale project: university campus in kenya, kenya. requires sustainable materials."
tid-20016,"shopping mall in venezuela, venezuela",energy,latin america,venezuela,venezuela,953.54,2026-11-16,corporate,2028-09-25,79,green building,environmental concerns,negotiated contract,low,large,"open tender for a energy large-scale project: airport in venezuela, venezuela. requires modular construction."
tid-20017,"railway in singapore, singapore",utilities,asia-pacific,singapore,singapore,23.37,2025-07-24,municipality,2025-06-13,95,renewable energy,supply chain delays,selective bid,medium,small,"open tender for a utilities small-scale project: metro system in singapore, singapore. requires advanced engineering."
tid-20018,"warehouse in colombia, colombia",energy,latin america,colombia,colombia,2422.57875,2027-05-11,state-owned enterprise,2028-05-29,45,community engagement,supply chain delays,epc,medium,mega,"open tender for a energy mega-scale project: highway in colombia, colombia. requires sustainable materials."
tid-20019,"metro system in japan, japan",energy,asia-pacific,japan,japan,25.46,2027-08-12,corporate,2026-08-04,31,waste reduction,regulatory changes,selective bid,high,small,"open tender for a energy small-scale project: railway in japan, japan. requires bim integration."
tid-20020,"water treatment plant in delhi, india",healthcare,asia-pacific,india,delhi,774.44,2027-03-30,state-owned enterprise,2029-07-04,81,water conservation,regulatory changes,design-build,high,large,"open tender for a healthcare large-scale project: residential complex in delhi, india. requires sustainable materials."
tid-20021,"residential complex in british columbia, canada",education,north america,canada,british columbia,2422.57875,2026-12-29,ngo,2029-09-01,56,renewable energy,environmental concerns,selective bid,medium,mega,"open tender for a education mega-scale project: solar plant in british columbia, canada. requires local labor."
tid-20022,"port in spain, spain",infrastructure,europe,spain,spain,47.74,2026-03-27,municipality,2028-03-05,24,community engagement,unknown,design-build,medium,small,"open tender for a infrastructure small-scale project: port in spain, spain. requires smart city tech."
tid-20023,"residential complex in delhi, india",infrastructure,asia-pacific,india,delhi,431.46,2027-02-21,ngo,2026-04-01,12,green building,unknown,open bid,low,large,"open tender for a infrastructure large-scale project: refinery in delhi, india. requires local labor."
tid-20024,"warehouse in algeria, algeria",education,africa,algeria,algeria,76.54,2025-08-04,government,2028-08-08,30,green building,labor shortages,design-build,medium,medium,"open tender for a education medium-scale project: residential complex in algeria, algeria. requires sustainable materials."
tid-20025,"metro system in spain, spain",commercial,europe,spain,spain,114.34,2027-05-06,private developer,2029-04-22,70,green building,labor shortages,negotiated contract,low,medium,"open tender for a commercial medium-scale project: airport in spain, spain. requires sustainable materials."
tid-20026,"stadium in chile, chile",energy,latin america,chile,chile,43.14,2026-04-03,ngo,2028-06-25,34,green building,supply chain delays,open bid,low,small,"open tender for a energy small-scale project: bridge in chile, chile. requires local labor."
tid-20027,"water treatment plant in alberta, canada",healthcare,north america,canada,alberta,738.91,2025-07-26,private developer,2028-07-04,28,unknown,geopolitical risks,negotiated contract,low,large,"open tender for a healthcare large-scale project: residential complex in alberta, canada. requires bim integration."
tid-20028,"railway in western cape, south africa",infrastructure,africa,south africa,western cape,134.62,2026-08-14,state-owned enterprise,2027-04-16,58,carbon neutrality,cost overruns,epc,medium,medium,"open tender for a infrastructure medium-scale project: bridge in western cape, south africa. requires smart city tech."
tid-20029,"high-rise building in egypt, egypt",energy,africa,egypt,egypt,376.67,2028-01-13,municipality,2025-07-13,87,unknown,supply chain delays,design-build,low,large,"open tender for a energy large-scale project: dam in egypt, egypt. requires modular construction."
tid-20030,"school in mexico, mexico",education,north america,mexico,mexico,31.52,2026-06-30,corporate,2029-02-01,69,water conservation,regulatory changes,open bid,medium,small,"open tender for a education small-scale project: high-rise building in mexico, mexico. requires bim integration."
tid-20031,"shopping mall in indonesia, indonesia",commercial,asia-pacific,indonesia,indonesia,599.94,2027-09-16,municipality,2027-03-14,92,renewable energy,cost overruns,design-build,medium,large,"open tender for a commercial large-scale project: smart city in indonesia, indonesia. requires sustainable materials."
tid-20032,"metro system in qatar, qatar",industrial,middle east,qatar,qatar,56.53,2028-01-28,government,2029-09-25,94,green building,supply chain delays,epc,low,medium,"open tender for a industrial medium-scale project: airport in qatar, qatar. requires bim integration."
tid-20033,"power plant in england, uk",residential,europe,uk,england,124.97,2027-06-24,government,2028-05-28,47,renewable energy,cost overruns,open bid,high,medium,"open tender for a residential medium-scale project: refinery in england, uk. requires modular construction."
tid-20034,"oil pipeline in kuwait, kuwait",residential,middle east,kuwait,kuwait,170.22,2027-04-12,municipality,2026-02-20,57,unknown,geopolitical risks,open bid,low,medium,"open tender for a residential medium-scale project: bridge in kuwait, kuwait. requires modular construction."
tid-20035,"shopping mall in malaysia, malaysia",utilities,asia-pacific,malaysia,malaysia,1688.61,2028-02-25,state-owned enterprise,2029-12-09,12,water conservation,labor shortages,selective bid,low,mega,"open tender for a utilities mega-scale project: high-rise building in malaysia, malaysia. requires sustainable materials."
tid-20036,"refinery in new south wales, australia",industrial,australia,australia,new south wales,17.55,2026-06-08,public-private partnership,2029-03-05,88,community engagement,environmental concerns,epc,medium,small,"open tender for a industrial small-scale project: metro system in new south wales, australia. requires sustainable materials."
tid-20037,"highway in algeria, algeria",energy,africa,algeria,algeria,761.36,2027-11-01,private developer,2025-10-26,87,renewable energy,regulatory changes,selective bid,high,large,"open tender for a energy large-scale project: port in algeria, algeria. requires advanced engineering."
tid-20038,"wind farm in new south wales, australia",healthcare,australia,australia,new south wales,41.02,2027-04-05,municipality,2025-10-02,75,renewable energy,labor shortages,selective bid,low,small,"open tender for a healthcare small-scale project: university campus in new south wales, australia. requires local labor."
tid-20039,"metro system in kuwait, kuwait",industrial,middle east,kuwait,kuwait,5.13,2026-07-22,ngo,2026-11-04,22,renewable energy,regulatory changes,epc,medium,small,"open tender for a industrial small-scale project: dam in kuwait, kuwait. requires advanced engineering."
tid-20040,"water treatment plant in mexico, mexico",utilities,north america,mexico,mexico,5.98,2027-02-09,international agency,2029-04-23,7,renewable energy,supply chain delays,design-build,medium,small,"open tender for a utilities small-scale project: port in mexico, mexico. requires sustainable materials."
tid-20041,"bridge in colombia, colombia",healthcare,latin america,colombia,colombia,1344.09,2025-08-25,corporate,2030-05-29,28,carbon neutrality,cost overruns,selective bid,low,mega,"open tender for a healthcare mega-scale project: data center in colombia, colombia. requires smart city tech."
tid-20042,"school in beijing, china",industrial,asia-pacific,china,beijing,910.93,2028-01-05,utility company,2027-04-11,36,waste reduction,supply chain delays,selective bid,medium,large,"open tender for a industrial large-scale project: university campus in beijing, china. requires sustainable materials."
tid-20043,"warehouse in indonesia, indonesia",residential,asia-pacific,indonesia,indonesia,578.1,2026-01-05,private developer,2025-08-29,34,water conservation,unknown,design-build,medium,large,"open tender for a residential large-scale project: power plant in indonesia, indonesia. requires local labor."
tid-20044,"school in england, uk",industrial,europe,uk,england,882.48,2026-12-20,public-private partnership,2028-01-14,61,waste reduction,unknown,epc,low,large,"open tender for a industrial large-scale project: stadium in england, uk. requires local labor."
tid-20045,"data center in netherlands, netherlands",energy,europe,netherlands,netherlands,2422.57875,2027-03-01,corporate,2027-05-15,23,renewable energy,labor shortages,epc,medium,mega,"open tender for a energy mega-scale project: oil pipeline in netherlands, netherlands. requires modular construction."
tid-20046,"shopping mall in new south wales, australia",residential,australia,australia,new south wales,153.47,2026-11-16,public-private partnership,2028-01-28,55,renewable energy,cost overruns,epc,low,medium,"open tender for a residential medium-scale project: bridge in new south wales, australia. requires sustainable materials."
tid-20047,"high-rise building in victoria, australia",commercial,australia,australia,victoria,448.9,2025-11-04,government,2028-12-13,57,carbon neutrality,labor shortages,negotiated contract,high,large,"open tender for a commercial large-scale project: smart city in victoria, australia. requires modular construction."
tid-20048,"university campus in são paulo, brazil",infrastructure,latin america,brazil,são paulo,27.16,2026-01-23,utility company,2030-04-10,40,waste reduction,unknown,negotiated contract,high,small,"open tender for a infrastructure small-scale project: school in são paulo, brazil. requires modular construction."
tid-20049,"shopping mall in uae, uae",infrastructure,middle east,uae,uae,94.48,2026-04-02,municipality,2028-12-08,20,green building,regulatory changes,open bid,high,medium,"open tender for a infrastructure medium-scale project: school in uae, uae. requires local labor."
tid-20050,"data center in chile, chile",commercial,latin america,chile,chile,2422.57875,2027-01-12,ngo,2026-07-24,96,unknown,supply chain delays,negotiated contract,high,mega,"open tender for a commercial mega-scale project: dam in chile, chile. requires smart city tech."
tid-20051,"refinery in wales, uk",transportation,europe,uk,wales,668.6,2028-02-10,municipality,2029-08-04,79,carbon neutrality,regulatory changes,open bid,high,large,"open tender for a transportation large-scale project: university campus in wales, uk. requires smart city tech."
tid-20052,"residential complex in qatar, qatar",industrial,middle east,qatar,qatar,934.12,2027-11-11,government,2027-02-06,51,unknown,regulatory changes,open bid,low,large,"open tender for a industrial large-scale project: refinery in qatar, qatar. requires bim integration."
tid-20053,"smart city in chile, chile",commercial,latin america,chile,chile,35.37,2025-08-20,ngo,2029-04-28,64,water conservation,supply chain delays,epc,high,small,"open tender for a commercial small-scale project: water treatment plant in chile, chile. requires bim integration."
tid-20054,"port in qatar, qatar",commercial,middle east,qatar,qatar,97.38,2025-06-26,corporate,2025-08-30,73,green building,environmental concerns,design-build,low,medium,"open tender for a commercial medium-scale project: highway in qatar, qatar. requires advanced engineering."
tid-20055,"university campus in oman, oman",healthcare,middle east,oman,oman,998.28,2027-05-31,ngo,2030-03-13,50,unknown,regulatory changes,open bid,high,large,"open tender for a healthcare large-scale project: bridge in oman, oman. requires modular construction."
tid-20056,"university campus in venezuela, venezuela",industrial,latin america,venezuela,venezuela,117.02,2027-12-25,ngo,2025-08-30,87,unknown,geopolitical risks,epc,low,medium,"open tender for a industrial medium-scale project: metro system in venezuela, venezuela. requires local labor."
tid-20057,"university campus in são paulo, brazil",commercial,latin america,brazil,são paulo,49.84,2026-06-07,ngo,2028-03-23,20,water conservation,supply chain delays,epc,medium,small,"open tender for a commercial small-scale project: residential complex in são paulo, brazil. requires smart city tech."
tid-20058,"school in victoria, australia",utilities,australia,australia,victoria,2422.57875,2027-01-03,state-owned enterprise,2030-02-05,37,carbon neutrality,geopolitical risks,epc,high,mega,"open tender for a utilities mega-scale project: metro system in victoria, australia. requires smart city tech."
tid-20059,"airport in western australia, australia",commercial,australia,australia,western australia,2422.57875,2028-02-02,municipality,2027-09-08,70,renewable energy,labor shortages,selective bid,medium,mega,"open tender for a commercial mega-scale project: shopping mall in western australia, australia. requires local labor."
tid-20060,"refinery in washington, usa",industrial,north america,usa,washington,180.39,2027-03-21,corporate,2025-08-12,38,waste reduction,environmental concerns,negotiated contract,high,medium,"open tender for a industrial medium-scale project: wind farm in washington, usa. requires smart city tech."
tid-20061,"refinery in uae, uae",infrastructure,middle east,uae,uae,12.53,2028-05-14,ngo,2028-05-06,46,renewable energy,geopolitical risks,open bid,medium,small,"open tender for a infrastructure small-scale project: dam in uae, uae. requires sustainable materials."
tid-20062,"residential complex in oman, oman",transportation,middle east,oman,oman,21.96,2026-12-01,private developer,2026-02-19,78,unknown,environmental concerns,open bid,medium,small,"open tender for a transportation small-scale project: data center in oman, oman. requires bim integration."
tid-20063,"port in argentina, argentina",education,latin america,argentina,argentina,154.32,2026-05-30,private developer,2026-01-11,53,green building,cost overruns,design-build,low,medium,"open tender for a education medium-scale project: hospital in argentina, argentina. requires modular construction."
tid-20064,"bridge in new south wales, australia",residential,australia,australia,new south wales,2422.57875,2026-11-15,public-private partnership,2029-02-11,28,community engagement,labor shortages,design-build,low,mega,"open tender for a residential mega-scale project: bridge in new south wales, australia. requires local labor."
tid-20065,"port in nigeria, nigeria",healthcare,africa,nigeria,nigeria,84.02,2025-12-18,private developer,2028-11-05,35,green building,cost overruns,negotiated contract,medium,medium,"open tender for a healthcare medium-scale project: railway in nigeria, nigeria. requires sustainable materials."
tid-20066,"highway in kenya, kenya",utilities,africa,kenya,kenya,15.4,2026-03-02,corporate,2027-05-12,37,waste reduction,supply chain delays,epc,low,small,"open tender for a utilities small-scale project: school in kenya, kenya. requires bim integration."
tid-20067,"bridge in singapore, singapore",commercial,asia-pacific,singapore,singapore,618.05,2026-02-06,corporate,2026-07-01,41,green building,environmental concerns,negotiated contract,medium,large,"open tender for a commercial large-scale project: residential complex in singapore, singapore. requires advanced engineering."
tid-20068,"stadium in malaysia, malaysia",infrastructure,asia-pacific,malaysia,malaysia,14.96,2028-05-12,public-private partnership,2027-11-13,50,carbon neutrality,supply chain delays,epc,low,small,"open tender for a infrastructure small-scale project: warehouse in malaysia, malaysia. requires smart city tech."
tid-20069,"airport in france, france",energy,europe,france,france,2422.57875,2025-09-22,utility company,2027-02-10,33,renewable energy,environmental concerns,epc,high,mega,"open tender for a energy mega-scale project: hospital in france, france. requires smart city tech."
tid-20070,"power plant in mexico, mexico",commercial,north america,mexico,mexico,43.26,2025-06-28,public-private partnership,2028-07-09,7,unknown,cost overruns,design-build,medium,small,"open tender for a commercial small-scale project: railway in mexico, mexico. requires local labor."
tid-20071,"highway in queensland, australia",energy,asia-pacific,australia,queensland,2422.57875,2027-02-04,state-owned enterprise,2029-12-11,92,community engagement,labor shortages,epc,medium,mega,"open tender for a energy mega-scale project: high-rise building in queensland, australia. requires sustainable materials."
tid-20072,"shopping mall in mexico, mexico",education,north america,mexico,mexico,213.51,2026-04-11,private developer,2028-09-25,76,community engagement,regulatory changes,selective bid,low,large,"open tender for a education large-scale project: solar plant in mexico, mexico. requires local labor."
tid-20073,"water treatment plant in uae, uae",utilities,middle east,uae,uae,626.21,2027-04-26,private developer,2025-11-17,84,renewable energy,geopolitical risks,selective bid,medium,large,"open tender for a utilities large-scale project: solar plant in uae, uae. requires local labor."
tid-20074,"residential complex in illinois, usa",energy,north america,usa,illinois,2422.57875,2026-01-09,international agency,2026-09-30,37,water conservation,labor shortages,design-build,low,mega,"open tender for a energy mega-scale project: metro system in illinois, usa. requires modular construction."
tid-20075,"residential complex in oman, oman",infrastructure,middle east,oman,oman,14.33,2026-02-04,government,2028-01-20,71,green building,cost overruns,open bid,low,small,"open tender for a infrastructure small-scale project: school in oman, oman. requires modular construction."
tid-20076,"smart city in nigeria, nigeria",residential,africa,nigeria,nigeria,600.75,2025-10-26,corporate,2025-12-01,60,renewable energy,regulatory changes,design-build,high,large,"open tender for a residential large-scale project: data center in nigeria, nigeria. requires smart city tech."
tid-20077,"bridge in france, france",energy,europe,france,france,48.09,2025-09-27,state-owned enterprise,2027-09-14,30,carbon neutrality,environmental concerns,selective bid,high,small,"open tender for a energy small-scale project: school in france, france. requires smart city tech."
tid-20078,"school in saudi arabia, saudi arabia",commercial,middle east,saudi arabia,saudi arabia,741.37,2027-03-11,corporate,2027-10-17,23,carbon neutrality,regulatory changes,negotiated contract,high,large,"open tender for a commercial large-scale project: metro system in saudi arabia, saudi arabia. requires modular construction."
tid-20079,"residential complex in victoria, australia",education,australia,australia,victoria,106.81,2027-10-08,ngo,2026-06-11,86,unknown,supply chain delays,selective bid,low,medium,"open tender for a education medium-scale project: hospital in victoria, australia. requires smart city tech."
tid-20080,"data center in oman, oman",utilities,middle east,oman,oman,186.32,2026-02-02,municipality,2026-06-16,17,green building,supply chain delays,selective bid,medium,medium,"open tender for a utilities medium-scale project: solar plant in oman, oman. requires local labor."
tid-20081,"hospital in argentina, argentina",utilities,latin america,argentina,argentina,112.18,2025-07-12,public-private partnership,2028-09-15,42,green building,regulatory changes,open bid,medium,medium,"open tender for a utilities medium-scale project: highway in argentina, argentina. requires smart city tech."
tid-20082,"refinery in germany, germany",utilities,europe,germany,germany,55.44,2025-07-20,municipality,2028-07-03,42,water conservation,labor shortages,open bid,medium,medium,"open tender for a utilities medium-scale project: railway in germany, germany. requires bim integration."
tid-20083,"highway in poland, poland",utilities,europe,poland,poland,66.88,2028-02-07,private developer,2026-03-21,48,renewable energy,geopolitical risks,open bid,high,medium,"open tender for a utilities medium-scale project: stadium in poland, poland. requires smart city tech."
tid-20084,"shopping mall in kuwait, kuwait",transportation,middle east,kuwait,kuwait,122.69,2028-05-19,state-owned enterprise,2027-06-10,47,waste reduction,supply chain delays,selective bid,low,medium,"open tender for a transportation medium-scale project: oil pipeline in kuwait, kuwait. requires sustainable materials."
tid-20085,"highway in queensland, australia",transportation,australia,australia,queensland,2243.32,2025-08-21,state-owned enterprise,2028-03-16,38,green building,cost overruns,epc,medium,mega,"open tender for a transportation mega-scale project: highway in queensland, australia. requires advanced engineering."
tid-20086,"residential complex in queensland, australia",industrial,australia,australia,queensland,39.06,2027-08-10,public-private partnership,2029-12-03,69,waste reduction,labor shortages,negotiated contract,low,small,"open tender for a industrial small-scale project: refinery in queensland, australia. requires sustainable materials."
tid-20087,"water treatment plant in colombia, colombia",infrastructure,latin america,colombia,colombia,6.46,2026-11-08,international agency,2029-02-04,51,carbon neutrality,geopolitical risks,epc,low,small,"open tender for a infrastructure small-scale project: highway in colombia, colombia. requires bim integration."
tid-20088,"hospital in netherlands, netherlands",infrastructure,europe,netherlands,netherlands,730.42,2027-08-22,international agency,2028-06-17,16,unknown,cost overruns,epc,high,large,"open tender for a infrastructure large-scale project: highway in netherlands, netherlands. requires bim integration."
tid-20089,"warehouse in jiangsu, china",utilities,asia-pacific,china,jiangsu,42.2,2026-08-24,corporate,2026-04-22,96,carbon neutrality,environmental concerns,open bid,medium,small,"open tender for a utilities small-scale project: refinery in jiangsu, china. requires advanced engineering."
tid-20090,"oil pipeline in morocco, morocco",transportation,africa,morocco,morocco,2422.57875,2025-12-31,ngo,2028-12-06,26,waste reduction,labor shortages,selective bid,high,mega,"open tender for a transportation mega-scale project: shopping mall in morocco, morocco. requires bim integration."
tid-20091,"airport in poland, poland",utilities,europe,poland,poland,2422.57875,2025-11-03,private developer,2028-08-07,39,water conservation,regulatory changes,selective bid,medium,mega,"open tender for a utilities mega-scale project: solar plant in poland, poland. requires advanced engineering."
tid-20092,"railway in new south wales, australia",healthcare,australia,australia,new south wales,14.18,2027-12-06,municipality,2028-12-05,20,renewable energy,environmental concerns,negotiated contract,low,small,"open tender for a healthcare small-scale project: railway in new south wales, australia. requires local labor."
tid-20093,"solar plant in singapore, singapore",infrastructure,asia-pacific,singapore,singapore,144.8,2027-09-22,ngo,2026-10-22,9,carbon neutrality,labor shortages,negotiated contract,low,medium,"open tender for a infrastructure medium-scale project: shopping mall in singapore, singapore. requires sustainable materials."
tid-20094,"stadium in south korea, south korea",utilities,asia-pacific,south korea,south korea,2422.57875,2026-10-16,state-owned enterprise,2029-07-15,42,water conservation,environmental concerns,epc,medium,mega,"open tender for a utilities mega-scale project: airport in south korea, south korea. requires sustainable materials."
tid-20095,"oil pipeline in victoria, australia",industrial,australia,australia,victoria,28.96,2027-06-10,private developer,2028-05-10,43,carbon neutrality,regulatory changes,design-build,high,small,"open tender for a industrial small-scale project: shopping mall in victoria, australia. requires modular construction."
tid-20096,"wind farm in chile, chile",industrial,latin america,chile,chile,58.37,2028-04-11,corporate,2029-08-28,12,carbon neutrality,environmental concerns,design-build,high,medium,"open tender for a industrial medium-scale project: shopping mall in chile, chile. requires local labor."
tid-20097,"oil pipeline in malaysia, malaysia",commercial,asia-pacific,malaysia,malaysia,2422.57875,2025-07-05,private developer,2029-02-24,58,community engagement,environmental concerns,epc,low,mega,"open tender for a commercial mega-scale project: high-rise building in malaysia, malaysia. requires bim integration."
tid-20098,"port in queensland, australia",utilities,australia,australia,queensland,186.26,2028-03-22,state-owned enterprise,2027-11-08,65,renewable energy,environmental concerns,negotiated contract,high,medium,"open tender for a utilities medium-scale project: airport in queensland, australia. requires smart city tech."
tid-20099,"solar plant in victoria, australia",industrial,australia,australia,victoria,304.14,2026-02-15,public-private partnership,2029-09-28,71,renewable energy,unknown,design-build,low,large,"open tender for a industrial large-scale project: data center in victoria, australia. requires advanced engineering."
tid-20100,"data center in victoria, australia",healthcare,australia,australia,victoria,822.21,2026-07-14,government,2026-01-12,32,community engagement,labor shortages,selective bid,low,large,"open tender for a healthcare large-scale project: bridge in victoria, australia. requires bim integration."
tid-20101,"railway in spain, spain",healthcare,europe,spain,spain,477.55,2028-05-05,government,2027-03-10,50,renewable energy,cost overruns,epc,high,large,"open tender for a healthcare large-scale project: university campus in spain, spain. requires smart city tech."
tid-20102,"metro system in delhi, india",residential,asia-pacific,india,delhi,25.48,2027-05-08,utility company,2029-05-28,88,renewable energy,environmental concerns,epc,low,small,"open tender for a residential small-scale project: port in delhi, india. requires local labor."
tid-20103,"warehouse in victoria, australia",commercial,australia,australia,victoria,185.74,2028-01-22,ngo,2027-05-17,58,waste reduction,regulatory changes,negotiated contract,medium,medium,"open tender for a commercial medium-scale project: highway in victoria, australia. requires advanced engineering."
tid-20104,"railway in peru, peru",infrastructure,latin america,peru,peru,292.44,2026-02-17,state-owned enterprise,2029-03-21,78,green building,environmental concerns,selective bid,low,large,"open tender for a infrastructure large-scale project: hospital in peru, peru. requires smart city tech."
tid-20105,"water treatment plant in victoria, australia",education,australia,australia,victoria,2422.57875,2027-06-01,public-private partnership,2025-08-30,23,waste reduction,environmental concerns,design-build,low,mega,"open tender for a education mega-scale project: wind farm in victoria, australia. requires local labor."
tid-20106,"hospital in venezuela, venezuela",industrial,latin america,venezuela,venezuela,68.46,2025-12-01,public-private partnership,2026-09-18,41,community engagement,supply chain delays,open bid,high,medium,"open tender for a industrial medium-scale project: water treatment plant in venezuela, venezuela. requires modular construction."
tid-20107,"port in mexico, mexico",utilities,north america,mexico,mexico,15.53,2025-06-20,state-owned enterprise,2026-09-20,49,carbon neutrality,cost overruns,epc,low,small,"open tender for a utilities small-scale project: hospital in mexico, mexico. requires smart city tech."
tid-20108,"water treatment plant in south korea, south korea",energy,asia-pacific,south korea,south korea,2422.57875,2026-06-06,private developer,2028-04-29,73,water conservation,environmental concerns,negotiated contract,high,mega,"open tender for a energy mega-scale project: refinery in south korea, south korea. requires smart city tech."
tid-20109,"wind farm in washington, usa",transportation,north america,usa,washington,774.13,2026-06-16,utility company,2025-11-18,25,unknown,regulatory changes,epc,high,large,"open tender for a transportation large-scale project: dam in washington, usa. requires bim integration."
tid-20110,"warehouse in queensland, australia",education,australia,australia,queensland,2410.64,2026-04-12,state-owned enterprise,2028-04-14,41,green building,geopolitical risks,epc,low,mega,"open tender for a education mega-scale project: power plant in queensland, australia. requires local labor."
tid-20111,"hospital in chile, chile",energy,latin america,chile,chile,39.43,2026-08-09,private developer,2025-08-17,42,renewable energy,geopolitical risks,negotiated contract,medium,small,"open tender for a energy small-scale project: school in chile, chile. requires sustainable materials."
tid-20112,"bridge in shanghai, china",residential,asia-pacific,china,shanghai,536.0,2027-12-04,ngo,2028-05-29,52,water conservation,labor shortages,selective bid,high,large,"open tender for a residential large-scale project: smart city in shanghai, china. requires modular construction."
tid-20113,"solar plant in nigeria, nigeria",energy,africa,nigeria,nigeria,328.57,2027-10-25,government,2025-06-20,88,waste reduction,environmental concerns,design-build,low,large,"open tender for a energy large-scale project: hospital in nigeria, nigeria. requires modular construction."
tid-20114,"highway in peru, peru",utilities,latin america,peru,peru,18.32,2026-03-06,state-owned enterprise,2025-08-31,47,renewable energy,regulatory changes,open bid,high,small,"open tender for a utilities small-scale project: power plant in peru, peru. requires smart city tech."
tid-20115,"highway in venezuela, venezuela",commercial,latin america,venezuela,venezuela,822.43,2026-06-08,utility company,2026-02-17,47,renewable energy,regulatory changes,epc,low,large,"open tender for a commercial large-scale project: power plant in venezuela, venezuela. requires modular construction."
tid-20116,"refinery in western australia, australia",education,australia,australia,western australia,948.18,2028-04-03,utility company,2029-09-20,57,green building,environmental concerns,open bid,low,large,"open tender for a education large-scale project: dam in western australia, australia. requires smart city tech."
tid-20117,"solar plant in saudi arabia, saudi arabia",healthcare,middle east,saudi arabia,saudi arabia,822.52,2026-04-03,utility company,2025-09-19,37,unknown,supply chain delays,open bid,low,large,"open tender for a healthcare large-scale project: solar plant in saudi arabia, saudi arabia. requires advanced engineering."
