win_id,company,project_name,sector,region,country,subregion,value_usd_m,award_date,client,project_duration_months,esg_compliance,contract_type,completion_status,project_scale,description
win-20050,snc-lavalin,"power plant in british columbia, canada",industrial,north america,canada,british columbia,25.82,2022-09-11,utility company,66,renewable energy,unit price,on track,small,"snc-lavalin secured a industrial small-scale contract to build a water treatment plant in british columbia, canada. project emphasizes innovation."
win-20051,jacobs,"smart city in indonesia, indonesia",energy,asia-pacific,indonesia,indonesia,4117.68,2025-03-02,international agency,63,unknown,cost-plus,cancelled,mega,"jacobs secured a energy mega-scale contract to build a residential complex in indonesia, indonesia. project emphasizes sustainability."
win-20052,salini impregilo,"school in mexico, mexico",healthcare,north america,mexico,mexico,47.31,2021-12-02,private developer,10,renewable energy,fixed-price,on hold,small,"salini impregilo secured a healthcare small-scale contract to build a wind farm in mexico, mexico. project emphasizes sustainability."
win-20053,salini impregilo,"dam in sweden, sweden",healthcare,europe,sweden,sweden,80.98,2022-08-26,municipality,6,unknown,fixed-price,completed,small,"salini impregilo secured a healthcare small-scale contract to build a dam in sweden, sweden. project emphasizes community impact."
win-20054,balfour beatty,"metro system in oman, oman",energy,middle east,oman,oman,743.06,2022-10-10,international agency,20,unknown,lump sum,completed,large,"balfour beatty secured a energy large-scale contract to build a data center in oman, oman. project emphasizes innovation."
win-20055,jacobs,"metro system in uae, uae",commercial,middle east,uae,uae,59.72,2020-12-03,ngo,13,renewable energy,time and materials,delayed,small,"jacobs secured a commercial small-scale contract to build a smart city in uae, uae. project emphasizes community impact."
win-20056,aecom,"university campus in queensland, australia",industrial,australia,australia,queensland,6024.6849999999995,2022-09-10,government,55,green building,unit price,completed,mega,"aecom secured a industrial mega-scale contract to build a wind farm in queensland, australia. project emphasizes digitalization."
win-20057,lendlease,"water treatment plant in indonesia, indonesia",residential,asia-pacific,indonesia,indonesia,83.5,2020-06-26,public-private partnership,54,unknown,lump sum,cancelled,small,"lendlease secured a residential small-scale contract to build a refinery in indonesia, indonesia. project emphasizes community impact."
win-20058,laing o’rourke,"high-rise building in south korea, south korea",energy,asia-pacific,south korea,south korea,58.2,2023-11-01,state-owned enterprise,28,community engagement,unit price,delayed,small,"laing o’rourke secured a energy small-scale contract to build a bridge in south korea, south korea. project emphasizes digitalization."
win-20059,cpb contractors,"stadium in mexico, mexico",commercial,north america,mexico,mexico,420.07,2022-08-17,government,78,water conservation,unit price,cancelled,medium,"cpb contractors secured a commercial medium-scale contract to build a smart city in mexico, mexico. project emphasizes digitalization."
win-20060,samsung c&t,"oil pipeline in victoria, australia",energy,australia,australia,victoria,99.91,2021-08-25,municipality,57,carbon neutrality,time and materials,delayed,small,"samsung c&t secured a energy small-scale contract to build a residential complex in victoria, australia. project emphasizes community impact."
win-20061,aecom,"refinery in sweden, sweden",infrastructure,europe,sweden,sweden,1452.53,2023-01-08,private developer,75,unknown,time and materials,cancelled,large,"aecom secured a infrastructure large-scale contract to build a high-rise building in sweden, sweden. project emphasizes safety."
win-20062,thiess,"solar plant in alberta, canada",healthcare,north america,canada,alberta,902.13,2020-09-19,private developer,43,renewable energy,unit price,completed,large,"thiess secured a healthcare large-scale contract to build a university campus in alberta, canada. project emphasizes digitalization."
win-20063,salini impregilo,"shopping mall in chile, chile",infrastructure,latin america,chile,chile,1322.78,2023-12-17,public-private partnership,17,green building,lump sum,completed,large,"salini impregilo secured a infrastructure large-scale contract to build a shopping mall in chile, chile. project emphasizes community impact."
win-20064,kiewit,"shopping mall in oman, oman",industrial,middle east,oman,oman,181.49,2021-05-28,municipality,19,carbon neutrality,lump sum,on hold,medium,"kiewit secured a industrial medium-scale contract to build a residential complex in oman, oman. project emphasizes community impact."
win-20065,larsen & toubro,"metro system in egypt, egypt",infrastructure,africa,egypt,egypt,64.57,2023-01-27,private developer,12,green building,fixed-price,on hold,small,"larsen & toubro secured a infrastructure small-scale contract to build a solar plant in egypt, egypt. project emphasizes community impact."
win-20066,hyundai e&c,"airport in mexico, mexico",infrastructure,north america,mexico,mexico,74.77,2024-05-14,international agency,77,water conservation,fixed-price,cancelled,small,"hyundai e&c secured a infrastructure small-scale contract to build a university campus in mexico, mexico. project emphasizes sustainability."
win-20067,hochtief,"dam in tamil nadu, india",commercial,asia-pacific,india,tamil nadu,1471.76,2020-11-02,international agency,48,waste reduction,time and materials,delayed,large,"hochtief secured a commercial large-scale contract to build a university campus in tamil nadu, india. project emphasizes community impact."
win-20068,jacobs,"metro system in maharashtra, india",transportation,asia-pacific,india,maharashtra,394.13,2020-09-07,private developer,22,green building,cost-plus,completed,medium,"jacobs secured a transportation medium-scale contract to build a bridge in maharashtra, india. project emphasizes sustainability."
win-20069,fluor,"university campus in uae, uae",utilities,middle east,uae,uae,98.26,2024-06-19,government,11,carbon neutrality,time and materials,on hold,small,"fluor secured a utilities small-scale contract to build a school in uae, uae. project emphasizes digitalization."
win-20070,thiess,"warehouse in alberta, canada",industrial,north america,canada,alberta,202.0,2020-08-11,government,80,water conservation,cost-plus,cancelled,medium,"thiess secured a industrial medium-scale contract to build a power plant in alberta, canada. project emphasizes digitalization."
win-20071,john holland,"school in saudi arabia, saudi arabia",utilities,middle east,saudi arabia,saudi arabia,483.87,2020-11-28,ngo,43,community engagement,fixed-price,cancelled,medium,"john holland secured a utilities medium-scale contract to build a stadium in saudi arabia, saudi arabia. project emphasizes innovation."
win-20072,hyundai e&c,"port in illinois, usa",residential,north america,usa,illinois,4469.56,2023-02-03,government,55,renewable energy,fixed-price,on track,mega,"hyundai e&c secured a residential mega-scale contract to build a metro system in illinois, usa. project emphasizes sustainability."
win-20073,snc-lavalin,"school in egypt, egypt",infrastructure,africa,egypt,egypt,2600.18,2024-06-15,public-private partnership,46,renewable energy,cost-plus,delayed,mega,"snc-lavalin secured a infrastructure mega-scale contract to build a university campus in egypt, egypt. project emphasizes innovation."
win-20074,vinci,"hospital in colombia, colombia",residential,latin america,colombia,colombia,396.43,2022-07-27,corporate,62,water conservation,unit price,on hold,medium,"vinci secured a residential medium-scale contract to build a solar plant in colombia, colombia. project emphasizes safety."
win-20075,kiewit,"power plant in france, france",commercial,europe,france,france,21.8,2025-02-27,state-owned enterprise,73,carbon neutrality,unit price,delayed,small,"kiewit secured a commercial small-scale contract to build a high-rise building in france, france. project emphasizes innovation."
win-20076,laing o’rourke,"power plant in nigeria, nigeria",infrastructure,africa,nigeria,nigeria,271.61,2021-11-19,utility company,26,water conservation,cost-plus,cancelled,medium,"laing o’rourke secured a infrastructure medium-scale contract to build a residential complex in nigeria, nigeria. project emphasizes sustainability."
win-20077,larsen & toubro,"smart city in argentina, argentina",transportation,latin america,argentina,argentina,1258.03,2025-05-03,ngo,28,community engagement,lump sum,cancelled,large,"larsen & toubro secured a transportation large-scale contract to build a data center in argentina, argentina. project emphasizes innovation."
win-20078,mccarthy,"school in japan, japan",energy,asia-pacific,japan,japan,4937.93,2024-05-31,public-private partnership,37,community engagement,fixed-price,delayed,mega,"mccarthy secured a energy mega-scale contract to build a university campus in japan, japan. project emphasizes digitalization."
win-20079,jacobs,"bridge in western australia, australia",commercial,australia,australia,western australia,948.29,2025-05-13,ngo,42,renewable energy,unit price,completed,large,"jacobs secured a commercial large-scale contract to build a university campus in western australia, australia. project emphasizes sustainability."
win-20080,acciona,"dam in south korea, south korea",residential,asia-pacific,south korea,south korea,106.26,2020-08-11,utility company,39,water conservation,fixed-price,completed,medium,"acciona secured a residential medium-scale contract to build a highway in south korea, south korea. project emphasizes innovation."
win-20081,kajima corporation,"warehouse in new south wales, australia",commercial,australia,australia,new south wales,1402.2,2021-05-04,international agency,76,community engagement,unit price,on hold,large,"kajima corporation secured a commercial large-scale contract to build a power plant in new south wales, australia. project emphasizes innovation."
win-20082,shimizu corporation,"refinery in oman, oman",residential,middle east,oman,oman,18.0,2025-02-01,corporate,28,waste reduction,lump sum,on hold,small,"shimizu corporation secured a residential small-scale contract to build a water treatment plant in oman, oman. project emphasizes community impact."
win-20083,bam group,"shopping mall in algeria, algeria",utilities,africa,algeria,algeria,1244.69,2024-12-10,corporate,16,community engagement,unit price,cancelled,large,"bam group secured a utilities large-scale contract to build a railway in algeria, algeria. project emphasizes digitalization."
win-20084,pcl construction,"bridge in kuwait, kuwait",commercial,middle east,kuwait,kuwait,42.93,2025-03-28,government,61,carbon neutrality,lump sum,on track,small,"pcl construction secured a commercial small-scale contract to build a shopping mall in kuwait, kuwait. project emphasizes safety."
win-20085,kiewit,"stadium in saudi arabia, saudi arabia",industrial,middle east,saudi arabia,saudi arabia,410.08,2024-01-01,government,29,green building,cost-plus,on track,medium,"kiewit secured a industrial medium-scale contract to build a power plant in saudi arabia, saudi arabia. project emphasizes innovation."
win-20086,kajima corporation,"airport in germany, germany",infrastructure,europe,germany,germany,3228.42,2024-02-05,municipality,21,green building,cost-plus,completed,mega,"kajima corporation secured a infrastructure mega-scale contract to build a stadium in germany, germany. project emphasizes innovation."
win-20087,ferrovial,"bridge in gauteng, south africa",utilities,africa,south africa,gauteng,6024.6849999999995,2024-10-06,private developer,30,green building,cost-plus,cancelled,mega,"ferrovial secured a utilities mega-scale contract to build a metro system in gauteng, south africa. project emphasizes community impact."
win-20088,larsen & toubro,"high-rise building in victoria, australia",industrial,australia,australia,victoria,5151.65,2023-10-08,state-owned enterprise,27,waste reduction,time and materials,on track,mega,"larsen & toubro secured a industrial mega-scale contract to build a airport in victoria, australia. project emphasizes safety."
win-20089,pcl construction,"dam in venezuela, venezuela",industrial,latin america,venezuela,venezuela,1948.53,2024-05-21,ngo,27,green building,cost-plus,completed,large,"pcl construction secured a industrial large-scale contract to build a wind farm in venezuela, venezuela. project emphasizes sustainability."
win-20090,mortenson construction,"airport in spain, spain",transportation,europe,spain,spain,47.11,2021-09-03,public-private partnership,24,community engagement,time and materials,on track,small,"mortenson construction secured a transportation small-scale contract to build a school in spain, spain. project emphasizes sustainability."
win-20091,pcl construction,"railway in colombia, colombia",infrastructure,latin america,colombia,colombia,14.32,2020-12-06,municipality,11,carbon neutrality,cost-plus,cancelled,small,"pcl construction secured a infrastructure small-scale contract to build a warehouse in colombia, colombia. project emphasizes community impact."
win-20092,ferrovial,"solar plant in south korea, south korea",energy,asia-pacific,south korea,south korea,1075.24,2021-10-09,state-owned enterprise,75,green building,time and materials,on track,large,"ferrovial secured a energy large-scale contract to build a warehouse in south korea, south korea. project emphasizes digitalization."
win-20093,john holland,"residential complex in argentina, argentina",transportation,latin america,argentina,argentina,3319.12,2023-03-16,state-owned enterprise,17,carbon neutrality,cost-plus,completed,mega,"john holland secured a transportation mega-scale contract to build a refinery in argentina, argentina. project emphasizes innovation."
win-20094,thiess,"refinery in new south wales, australia",transportation,australia,australia,new south wales,687.22,2021-09-26,public-private partnership,13,renewable energy,time and materials,on hold,large,"thiess secured a transportation large-scale contract to build a airport in new south wales, australia. project emphasizes safety."
win-20095,laing o’rourke,"stadium in minas gerais, brazil",utilities,latin america,brazil,minas gerais,21.11,2020-12-12,public-private partnership,72,community engagement,lump sum,delayed,small,"laing o’rourke secured a utilities small-scale contract to build a bridge in minas gerais, brazil. project emphasizes sustainability."
win-20096,balfour beatty,"water treatment plant in new south wales, australia",residential,australia,australia,new south wales,1916.69,2022-01-15,municipality,25,water conservation,fixed-price,completed,large,"balfour beatty secured a residential large-scale contract to build a smart city in new south wales, australia. project emphasizes community impact."
win-20097,larsen & toubro,"power plant in ontario, canada",transportation,north america,canada,ontario,86.26,2021-03-09,municipality,60,community engagement,cost-plus,on hold,small,"larsen & toubro secured a transportation small-scale contract to build a oil pipeline in ontario, canada. project emphasizes innovation."
win-20098,shimizu corporation,"wind farm in georgia, usa",energy,north america,usa,georgia,884.91,2022-12-12,utility company,76,green building,fixed-price,on track,large,"shimizu corporation secured a energy large-scale contract to build a stadium in georgia, usa. project emphasizes digitalization."
win-20099,ferrovial,"highway in mexico, mexico",energy,north america,mexico,mexico,235.67,2021-09-02,private developer,34,water conservation,unit price,on track,medium,"ferrovial secured a energy medium-scale contract to build a high-rise building in mexico, mexico. project emphasizes community impact."
win-20100,leighton asia,"refinery in colombia, colombia",industrial,latin america,colombia,colombia,1900.27,2024-07-06,utility company,9,unknown,time and materials,on hold,large,"leighton asia secured a industrial large-scale contract to build a smart city in colombia, colombia. project emphasizes digitalization."
win-20101,turner construction,"power plant in victoria, australia",residential,australia,australia,victoria,3571.34,2021-07-31,private developer,38,renewable energy,time and materials,completed,mega,"turner construction secured a residential mega-scale contract to build a smart city in victoria, australia. project emphasizes community impact."
win-20102,balfour beatty,"oil pipeline in quebec, canada",industrial,north america,canada,quebec,6024.6849999999995,2023-03-15,ngo,41,water conservation,lump sum,completed,mega,"balfour beatty secured a industrial mega-scale contract to build a school in quebec, canada. project emphasizes sustainability."
win-20103,balfour beatty,"high-rise building in minas gerais, brazil",utilities,latin america,brazil,minas gerais,115.67,2021-01-17,municipality,40,water conservation,lump sum,delayed,medium,"balfour beatty secured a utilities medium-scale contract to build a data center in minas gerais, brazil. project emphasizes safety."
win-20104,hochtief,"university campus in new south wales, australia",industrial,asia-pacific,australia,new south wales,1139.05,2023-02-26,private developer,39,waste reduction,cost-plus,cancelled,large,"hochtief secured a industrial large-scale contract to build a refinery in new south wales, australia. project emphasizes safety."
win-20105,aecom,"highway in kuwait, kuwait",utilities,middle east,kuwait,kuwait,2068.6,2022-10-03,international agency,32,renewable energy,lump sum,delayed,mega,"aecom secured a utilities mega-scale contract to build a school in kuwait, kuwait. project emphasizes digitalization."
win-20106,balfour beatty,"airport in germany, germany",utilities,europe,germany,germany,505.12,2020-11-12,government,40,unknown,lump sum,on track,large,"balfour beatty secured a utilities large-scale contract to build a water treatment plant in germany, germany. project emphasizes community impact."
win-20107,kajima corporation,"highway in queensland, australia",education,australia,australia,queensland,127.72,2020-08-19,public-private partnership,12,unknown,unit price,cancelled,medium,"kajima corporation secured a education medium-scale contract to build a smart city in queensland, australia. project emphasizes innovation."
win-20108,turner construction,"refinery in ontario, canada",utilities,north america,canada,ontario,1827.97,2022-08-22,international agency,22,carbon neutrality,lump sum,on hold,large,"turner construction secured a utilities large-scale contract to build a oil pipeline in ontario, canada. project emphasizes safety."
win-20109,bechtel,"metro system in italy, italy",infrastructure,europe,italy,italy,1424.47,2025-04-25,international agency,76,water conservation,unit price,cancelled,large,"bechtel secured a infrastructure large-scale contract to build a smart city in italy, italy. project emphasizes innovation."
win-20110,shimizu corporation,"hospital in morocco, morocco",education,africa,morocco,morocco,342.84,2022-01-02,private developer,46,unknown,lump sum,on hold,medium,"shimizu corporation secured a education medium-scale contract to build a refinery in morocco, morocco. project emphasizes digitalization."
win-20111,samsung c&t,"dam in japan, japan",utilities,asia-pacific,japan,japan,76.84,2023-01-15,corporate,77,community engagement,lump sum,delayed,small,"samsung c&t secured a utilities small-scale contract to build a solar plant in japan, japan. project emphasizes digitalization."
win-20112,acciona,"warehouse in são paulo, brazil",residential,latin america,brazil,são paulo,57.23,2020-09-11,state-owned enterprise,72,renewable energy,lump sum,cancelled,small,"acciona secured a residential small-scale contract to build a hospital in são paulo, brazil. project emphasizes safety."
win-20113,salini impregilo,"high-rise building in germany, germany",utilities,europe,germany,germany,132.75,2023-11-01,state-owned enterprise,40,green building,fixed-price,on hold,medium,"salini impregilo secured a utilities medium-scale contract to build a oil pipeline in germany, germany. project emphasizes community impact."
win-20114,clark construction,"power plant in minas gerais, brazil",commercial,latin america,brazil,minas gerais,6024.6849999999995,2020-11-12,government,72,carbon neutrality,cost-plus,delayed,mega,"clark construction secured a commercial mega-scale contract to build a railway in minas gerais, brazil. project emphasizes digitalization."
win-20115,bouygues,"school in oman, oman",education,middle east,oman,oman,311.86,2022-09-17,municipality,83,waste reduction,fixed-price,completed,medium,"bouygues secured a education medium-scale contract to build a port in oman, oman. project emphasizes innovation."
